run_index,year,lca_ssp_scenario,impact,impact_unit,value,s_p,r_c
0,2027,SSP2,POF,kg NMVOC-eq,69269871.34325738,Paper,FR
0,2028,SSP2,POF,kg NMVOC-eq,67682213.14423731,Paper,FR
0,2029,SSP2,POF,kg NMVOC-eq,66086576.007434644,Paper,FR
0,2030,SSP2,POF,kg NMVOC-eq,64488819.77057635,Paper,FR
0,2019,,AC,mol H+ eq,247407986.65955576,Paper,FR
0,2020,,AC,mol H+ eq,228307962.06515858,Paper,FR
0,2021,,AC,mol H+ eq,257011476.4137827,Paper,FR
0,2022,,AC,mol H+ eq,254114079.2695884,Paper,FR
0,2023,,AC,mol H+ eq,240357981.35995606,Paper,FR
0,2024,,AC,mol H+ eq,230910029.02931246,Paper,FR
0,2025,,AC,mol H+ eq,164798259.4202899,Paper,FR
0,2026,SSP2,AC,mol H+ eq,174060965.8979342,Paper,FR
0,2027,SSP2,AC,mol H+ eq,170196244.08662748,Paper,FR
0,2028,SSP2,AC,mol H+ eq,166295363.99075508,Paper,FR
0,2029,SSP2,AC,mol H+ eq,162374879.62514657,Paper,FR
0,2030,SSP2,AC,mol H+ eq,158449188.62549472,Paper,FR
0,2019,,TEU,mol N-eq,1511662798.4898856,Paper,FR
0,2020,,TEU,mol N-eq,1394961648.218119,Paper,FR
0,2021,,TEU,mol N-eq,1570340120.8882122,Paper,FR
0,2022,,TEU,mol N-eq,1552637024.3371851,Paper,FR
0,2023,,TEU,mol N-eq,1468587266.1093316,Paper,FR
0,2024,,TEU,mol N-eq,1410860277.3690991,Paper,FR
0,2025,,TEU,mol N-eq,1006917365.0579712,Paper,FR
0,2026,SSP2,TEU,mol N-eq,1063512501.6363779,Paper,FR
0,2027,SSP2,TEU,mol N-eq,1039899051.3692939,Paper,FR
0,2028,SSP2,TEU,mol N-eq,1016064673.9835135,Paper,FR
0,2029,SSP2,TEU,mol N-eq,992110514.5096455,Paper,FR
0,2030,SSP2,TEU,mol N-eq,968124542.5017726,Paper,FR
0,2019,,FEU,kg P-eq,1437440.4024920189,Paper,FR
0,2020,,FEU,kg P-eq,1326469.2595985713,Paper,FR
0,2021,,FEU,kg P-eq,1493236.6779640773,Paper,FR
0,2022,,FEU,kg P-eq,1476402.8005563086,Paper,FR
0,2023,,FEU,kg P-eq,1396479.8717013448,Paper,FR
0,2024,,FEU,kg P-eq,1341587.2686603053,Paper,FR
0,2025,,FEU,kg P-eq,957477.8872318843,Paper,FR
0,2026,SSP2,FEU,kg P-eq,1011294.2118669976,Paper,FR
0,2027,SSP2,FEU,kg P-eq,988840.1781433057,Paper,FR
0,2028,SSP2,FEU,kg P-eq,966176.064786287,Paper,FR
0,2029,SSP2,FEU,kg P-eq,943398.0506221015,Paper,FR
0,2030,SSP2,FEU,kg P-eq,920589.7859141243,Paper,FR
0,2019,,MEU,kg N-eq,49729005.31857071,Paper,FR
0,2020,,MEU,kg N-eq,45889900.37509687,Paper,FR
0,2021,,MEU,kg N-eq,51659306.75917032,Paper,FR
0,2022,,MEU,kg N-eq,51076929.93318727,Paper,FR
0,2023,,MEU,kg N-eq,48311954.25335117,Paper,FR
0,2024,,MEU,kg N-eq,46412915.8348918,Paper,FR
0,2025,,MEU,kg N-eq,33124450.14347827,Paper,FR
0,2026,SSP2,MEU,kg N-eq,34986254.145484775,Paper,FR
0,2027,SSP2,MEU,kg N-eq,34209445.061412126,Paper,FR
0,2028,SSP2,MEU,kg N-eq,33425368.16214177,Paper,FR
0,2029,SSP2,MEU,kg N-eq,32637350.804654457,Paper,FR
0,2030,SSP2,MEU,kg N-eq,31848286.913724437,Paper,FR
0,2019,,ECOTOX,CTUe,32410446252.401806,Paper,FR
0,2020,,ECOTOX,CTUe,29908343030.535774,Paper,FR
0,2021,,ECOTOX,CTUe,33668503410.205532,Paper,FR
0,2022,,ECOTOX,CTUe,33288944384.316082,Paper,FR
0,2023,,ECOTOX,CTUe,31486895558.154243,Paper,FR
0,2024,,ECOTOX,CTUe,30249213802.83993,Paper,FR
0,2025,,ECOTOX,CTUe,21588571984.057976,Paper,FR
0,2026,SSP2,ECOTOX,CTUe,22801986532.62938,Paper,FR
0,2027,SSP2,ECOTOX,CTUe,22295707975.3482,Paper,FR
0,2028,SSP2,ECOTOX,CTUe,21784692682.788914,Paper,FR
0,2029,SSP2,ECOTOX,CTUe,21271109230.8942,Paper,FR
0,2030,SSP2,ECOTOX,CTUe,20756843709.939808,Paper,FR
0,2019,,HTOX_nc,CTUh,1014.3727453041786,Paper,FR
0,2020,,HTOX_nc,CTUh,936.0626444671501,Paper,FR
0,2021,,HTOX_nc,CTUh,1053.747053296509,Paper,FR
0,2022,,HTOX_nc,CTUh,1041.8677250053124,Paper,FR
0,2023,,HTOX_nc,CTUh,985.4677235758198,Paper,FR
0,2024,,HTOX_nc,CTUh,946.731119020181,Paper,FR
0,2025,,HTOX_nc,CTUh,675.6728636231886,Paper,FR
0,2026,SSP2,HTOX_nc,CTUh,713.6499601815302,Paper,FR
0,2027,SSP2,HTOX_nc,CTUh,697.8046007551727,Paper,FR
0,2028,SSP2,HTOX_nc,CTUh,681.8109923620958,Paper,FR
0,2029,SSP2,HTOX_nc,CTUh,665.7370064631009,Paper,FR
0,2030,SSP2,HTOX_nc,CTUh,649.6416733645283,Paper,FR
0,2019,,HTOX_c,CTUh,238.00648316649264,Paper,FR
0,2020,,HTOX_c,CTUh,219.63225950668254,Paper,FR
0,2021,,HTOX_c,CTUh,247.24504031005895,Paper,FR
0,2022,,HTOX_c,CTUh,244.45774425734405,Paper,FR
0,2023,,HTOX_c,CTUh,231.22437806827773,Paper,FR
0,2024,,HTOX_c,CTUh,222.13544792619857,Paper,FR
0,2025,,HTOX_c,CTUh,158.53592556231888,Paper,FR
0,2026,SSP2,HTOX_c,CTUh,167.4466491938127,Paper,FR
0,2027,SSP2,HTOX_c,CTUh,163.72878681133565,Paper,FR
0,2028,SSP2,HTOX_c,CTUh,159.9761401591064,Paper,FR
0,2029,SSP2,HTOX_c,CTUh,156.204634199391,Paper,FR
0,2030,SSP2,HTOX_c,CTUh,152.42811945772593,Paper,FR
0,2019,,LU,Pt,984683786905.0319,Paper,FR
0,2020,,LU,Pt,908665689019.331,Paper,FR
0,2021,,LU,Pt,1022905676126.8551,Paper,FR
0,2022,,LU,Pt,1011374035492.9618,Paper,FR
0,2023,,LU,Pt,956624765812.6251,Paper,FR
0,2024,,LU,Pt,919021915536.6636,Paper,FR
0,2025,,LU,Pt,655897072492.7538,Paper,FR
0,2026,SSP2,LU,Pt,692762644273.7781,Paper,FR
0,2027,SSP2,LU,Pt,677381051464.7775,Paper,FR
0,2028,SSP2,LU,Pt,661855548683.2052,Paper,FR
0,2029,SSP2,LU,Pt,646252020908.0833,Paper,FR
0,2030,SSP2,LU,Pt,630627770729.469,Paper,FR
0,2019,,WU,m3 water-eq,45028253572.03915,Paper,FR
0,2020,,WU,m3 water-eq,41552049095.85886,Paper,FR
0,2021,,WU,m3 water-eq,46776088707.30845,Paper,FR
0,2022,,WU,m3 water-eq,46248762427.06509,Paper,FR
0,2023,,WU,m3 water-eq,43745152607.512,Paper,FR
0,2024,,WU,m3 water-eq,42025625283.33487,Paper,FR
0,2025,,WU,m3 water-eq,29993283214.492764,Paper,FR
0,2026,SSP2,WU,m3 water-eq,31679095793.424023,Paper,FR
0,2027,SSP2,WU,m3 water-eq,30975716423.766205,Paper,FR
0,2028,SSP2,WU,m3 water-eq,30265756246.317425,Paper,FR
0,2029,SSP2,WU,m3 water-eq,29552228091.776672,Paper,FR
0,2030,SSP2,WU,m3 water-eq,28837752329.84004,Paper,FR
0,2019,,FRD,MJ,55419389011.74049,Paper,FR
0,2020,,FRD,MJ,51140983502.59552,Paper,FR
0,2021,,FRD,MJ,57570570716.687325,Paper,FR
0,2022,,FRD,MJ,56921553756.3878,Paper,FR
0,2023,,FRD,MJ,53840187824.63016,Paper,FR
0,2024,,FRD,MJ,51723846502.56599,Paper,FR
0,2025,,FRD,MJ,36914810110.144936,Paper,FR
0,2026,SSP2,FRD,MJ,38989656361.13726,Paper,FR
0,2027,SSP2,FRD,MJ,38123958675.40456,Paper,FR
0,2028,SSP2,FRD,MJ,37250161533.92914,Paper,FR
0,2029,SSP2,FRD,MJ,36371973036.03283,Paper,FR
0,2030,SSP2,FRD,MJ,35492618252.11082,Paper,FR
0,2019,,MRD,kg Sb-eq,54182.34907844271,Paper,FR
0,2020,,MRD,kg Sb-eq,49999.44369226973,Paper,FR
0,2021,,MRD,kg Sb-eq,56285.51333461841,Paper,FR
0,2022,,MRD,kg Sb-eq,55650.983360039856,Paper,FR
0,2023,,MRD,kg Sb-eq,52638.39791783038,Paper,FR
0,2024,,MRD,kg Sb-eq,50569.29635741943,Paper,FR
0,2025,,MRD,kg Sb-eq,36090.81881304349,Paper,FR
0,2026,SSP2,MRD,kg Sb-eq,38119.35153164759,Paper,FR
0,2027,SSP2,MRD,kg Sb-eq,37272.97745497142,Paper,FR
0,2028,SSP2,MRD,kg Sb-eq,36418.68471397536,Paper,FR
0,2029,SSP2,MRD,kg Sb-eq,35560.0986379071,Paper,FR
0,2030,SSP2,MRD,kg Sb-eq,34700.372308983344,Paper,FR
1,2019,,GWP_100,kg CO2-eq,1631198814.9600391,Paper,FR
1,2020,,GWP_100,kg CO2-eq,1505269422.361407,Paper,FR
1,2021,,GWP_100,kg CO2-eq,1694516096.3383958,Paper,FR
1,2022,,GWP_100,kg CO2-eq,1675413112.429546,Paper,FR
1,2023,,GWP_100,kg CO2-eq,1584717048.3629346,Paper,FR
1,2024,,GWP_100,kg CO2-eq,1522425249.0818076,Paper,FR
1,2025,,GWP_100,kg CO2-eq,1086540208.759551,Paper,FR
1,2026,SSP2,GWP_100,kg CO2-eq,1147610653.7102518,Paper,FR
1,2027,SSP2,GWP_100,kg CO2-eq,1122129949.858001,Paper,FR
1,2028,SSP2,GWP_100,kg CO2-eq,1096410848.8879738,Paper,FR
1,2029,SSP2,GWP_100,kg CO2-eq,1070562493.9597641,Paper,FR
1,2030,SSP2,GWP_100,kg CO2-eq,1044679810.8944716,Paper,FR
1,2019,,ODP,kg CFC-11-eq,129106.63160990618,Paper,FR
1,2020,,ODP,kg CFC-11-eq,119139.5328418206,Paper,FR
1,2021,,ODP,kg CFC-11-eq,134118.08750754702,Paper,FR
1,2022,,ODP,kg CFC-11-eq,132606.11859023868,Paper,FR
1,2023,,ODP,kg CFC-11-eq,125427.6782771838,Paper,FR
1,2024,,ODP,kg CFC-11-eq,120497.38755581413,Paper,FR
1,2025,,ODP,kg CFC-11-eq,85997.82269036683,Paper,FR
1,2026,SSP2,ODP,kg CFC-11-eq,90831.44527897587,Paper,FR
1,2027,SSP2,ODP,kg CFC-11-eq,88814.69059815897,Paper,FR
1,2028,SSP2,ODP,kg CFC-11-eq,86779.06718804961,Paper,FR
1,2029,SSP2,ODP,kg CFC-11-eq,84733.21354542038,Paper,FR
1,2030,SSP2,ODP,kg CFC-11-eq,82684.64288871075,Paper,FR
1,2019,,PM,Disease incidence,123.59744324807345,Paper,FR
1,2020,,PM,Disease incidence,114.05565667231807,Paper,FR
1,2021,,PM,Disease incidence,128.39505223357008,Paper,FR
1,2022,,PM,Disease incidence,126.94760147043257,Paper,FR
1,2023,,PM,Disease incidence,120.07547679225759,Paper,FR
1,2024,,PM,Disease incidence,115.35556953395194,Paper,FR
1,2025,,PM,Disease incidence,82.3281567870673,Paper,FR
1,2026,SSP2,PM,Disease incidence,86.95552089786929,Paper,FR
1,2027,SSP2,PM,Disease incidence,85.02482439452695,Paper,FR
1,2028,SSP2,PM,Disease incidence,83.07606432102708,Paper,FR
1,2029,SSP2,PM,Disease incidence,81.1175105555416,Paper,FR
1,2030,SSP2,PM,Disease incidence,79.15635571535203,Paper,FR
1,2019,,IR,kBq U-235-eq,126232272464.60214,Paper,FR
1,2020,,IR,kBq U-235-eq,116487075709.90623,Paper,FR
1,2021,,IR,kBq U-235-eq,131132156060.25471,Paper,FR
1,2022,,IR,kBq U-235-eq,129653848788.60071,Paper,FR
1,2023,,IR,kBq U-235-eq,122635225328.52666,Paper,FR
1,2024,,IR,kBq U-235-eq,117814699892.23386,Paper,FR
1,2025,,IR,kBq U-235-eq,84083214392.99316,Paper,FR
1,2026,SSP2,IR,kBq U-235-eq,88809223862.74635,Paper,FR
1,2027,SSP2,IR,kBq U-235-eq,86837369100.61183,Paper,FR
1,2028,SSP2,IR,kBq U-235-eq,84847065692.21176,Paper,FR
1,2029,SSP2,IR,kBq U-235-eq,82846759811.57059,Paper,FR
1,2030,SSP2,IR,kBq U-235-eq,80843797406.95837,Paper,FR
1,2019,,POF,kg NMVOC-eq,97488681.01156181,Paper,FR
1,2020,,POF,kg NMVOC-eq,89962504.39076251,Paper,FR
1,2021,,POF,kg NMVOC-eq,101272841.58733143,Paper,FR
1,2022,,POF,kg NMVOC-eq,100131150.77222104,Paper,FR
1,2023,,POF,kg NMVOC-eq,94710695.84195511,Paper,FR
1,2024,,POF,kg NMVOC-eq,90987823.25643107,Paper,FR
1,2025,,POF,kg NMVOC-eq,64937131.419256575,Paper,FR
1,2026,SSP2,POF,kg NMVOC-eq,68587009.70045117,Paper,FR
1,2027,SSP2,POF,kg NMVOC-eq,67064154.12514044,Paper,FR
1,2028,SSP2,POF,kg NMVOC-eq,65527050.73383338,Paper,FR
1,2029,SSP2,POF,kg NMVOC-eq,63982222.47307254,Paper,FR
1,2030,SSP2,POF,kg NMVOC-eq,62435342.589434646,Paper,FR
1,2019,,AC,mol H+ eq,239529928.77533615,Paper,FR
1,2020,,AC,mol H+ eq,221038094.3261978,Paper,FR
1,2021,,AC,mol H+ eq,248827620.60769394,Paper,FR
1,2022,,AC,mol H+ eq,246022483.46983057,Paper,FR
1,2023,,AC,mol H+ eq,232704412.38809612,Paper,FR
1,2024,,AC,mol H+ eq,223557305.29835647,Paper,FR
1,2025,,AC,mol H+ eq,159550691.44780487,Paper,FR
1,2026,SSP2,AC,mol H+ eq,168518451.35245988,Paper,FR
1,2027,SSP2,AC,mol H+ eq,164776791.46226153,Paper,FR
1,2028,SSP2,AC,mol H+ eq,161000124.65315327,Paper,FR
1,2029,SSP2,AC,mol H+ eq,157204477.82081705,Paper,FR
1,2030,SSP2,AC,mol H+ eq,153403790.14603108,Paper,FR
1,2019,,TEU,mol N-eq,1463527864.817304,Paper,FR
1,2020,,TEU,mol N-eq,1350542756.3330686,Paper,FR
1,2021,,TEU,mol N-eq,1520336761.9130101,Paper,FR
1,2022,,TEU,mol N-eq,1503197374.0006647,Paper,FR
1,2023,,TEU,mol N-eq,1421823959.6912673,Paper,FR
1,2024,,TEU,mol N-eq,1365935135.372958,Paper,FR
1,2025,,TEU,mol N-eq,974854724.7460877,Paper,FR
1,2026,SSP2,TEU,mol N-eq,1029647737.7635298,Paper,FR
1,2027,SSP2,TEU,mol N-eq,1006786195.8344179,Paper,FR
1,2028,SSP2,TEU,mol N-eq,983710761.6307664,Paper,FR
1,2029,SSP2,TEU,mol N-eq,960519359.4851922,Paper,FR
1,2030,SSP2,TEU,mol N-eq,937297157.7922499,Paper,FR
1,2019,,FEU,kg P-eq,1391668.886184703,Paper,FR
1,2020,,FEU,kg P-eq,1284231.328035209,Paper,FR
1,2021,,FEU,kg P-eq,1445688.4757307018,Paper,FR
1,2022,,FEU,kg P-eq,1429390.6289597156,Paper,FR
1,2023,,FEU,kg P-eq,1352012.6359748384,Paper,FR
1,2024,,FEU,kg P-eq,1298867.943783451,Paper,FR
1,2025,,FEU,kg P-eq,926989.5173117463,Paper,FR
1,2026,SSP2,FEU,kg P-eq,979092.2023577918,Paper,FR
1,2027,SSP2,FEU,kg P-eq,957353.1583957395,Paper,FR
1,2028,SSP2,FEU,kg P-eq,935410.7242348205,Paper,FR
1,2029,SSP2,FEU,kg P-eq,913358.016138947,Paper,FR
1,2030,SSP2,FEU,kg P-eq,891276.0207484405,Paper,FR
1,2019,,MEU,kg N-eq,48145515.68384256,Paper,FR
1,2020,,MEU,kg N-eq,44428656.95956576,Paper,FR
1,2021,,MEU,kg N-eq,50014351.742146485,Paper,FR
1,2022,,MEU,kg N-eq,49450519.17743594,Paper,FR
1,2023,,MEU,kg N-eq,46773586.89000732,Paper,FR
1,2024,,MEU,kg N-eq,44935018.36496965,Paper,FR
1,2025,,MEU,kg N-eq,32069688.981008776,Paper,FR
1,2026,SSP2,MEU,kg N-eq,33872208.721844435,Paper,FR
1,2027,SSP2,MEU,kg N-eq,33120135.083914567,Paper,FR
1,2028,SSP2,MEU,kg N-eq,32361025.055283807,Paper,FR
1,2029,SSP2,MEU,kg N-eq,31598100.041984227,Paper,FR
1,2030,SSP2,MEU,kg N-eq,30834161.819352247,Paper,FR
1,2019,,ECOTOX,CTUe,31378420669.569035,Paper,FR
1,2020,,ECOTOX,CTUe,28955990356.73191,Paper,FR
1,2021,,ECOTOX,CTUe,32596418299.607906,Paper,FR
1,2022,,ECOTOX,CTUe,32228945334.547802,Paper,FR
1,2023,,ECOTOX,CTUe,30484278022.84059,Paper,FR
1,2024,,ECOTOX,CTUe,29286006994.084698,Paper,FR
1,2025,,ECOTOX,CTUe,20901140579.662437,Paper,FR
1,2026,SSP2,ECOTOX,CTUe,22075917127.17224,Paper,FR
1,2027,SSP2,ECOTOX,CTUe,21585759681.55626,Paper,FR
1,2028,SSP2,ECOTOX,CTUe,21091016329.563076,Paper,FR
1,2029,SSP2,ECOTOX,CTUe,20593786594.527035,Paper,FR
1,2030,SSP2,ECOTOX,CTUe,20095896509.13007,Paper,FR
1,2019,,HTOX_nc,CTUh,982.0727079788782,Paper,FR
1,2020,,HTOX_nc,CTUh,906.256186737411,Paper,FR
1,2021,,HTOX_nc,CTUh,1020.1932444915452,Paper,FR
1,2022,,HTOX_nc,CTUh,1008.6921822263052,Paper,FR
1,2023,,HTOX_nc,CTUh,954.0880907911941,Paper,FR
1,2024,,HTOX_nc,CTUh,916.5849517232615,Paper,FR
1,2025,,HTOX_nc,CTUh,654.157834936,Paper,FR
1,2026,SSP2,HTOX_nc,CTUh,690.9256505450854,Paper,FR
1,2027,SSP2,HTOX_nc,CTUh,675.5848449952723,Paper,FR
1,2028,SSP2,HTOX_nc,CTUh,660.1005110779283,Paper,FR
1,2029,SSP2,HTOX_nc,CTUh,644.5383590653499,Paper,FR
1,2030,SSP2,HTOX_nc,CTUh,628.9555395987275,Paper,FR
1,2019,,HTOX_c,CTUh,230.42779148187336,Paper,FR
1,2020,,HTOX_c,CTUh,212.6386467418023,Paper,FR
1,2021,,HTOX_c,CTUh,239.37217102460158,Paper,FR
1,2022,,HTOX_c,CTUh,236.673629097977,Paper,FR
1,2023,,HTOX_c,CTUh,223.86164471734847,Paper,FR
1,2024,,HTOX_c,CTUh,215.06212769701892,Paper,FR
1,2025,,HTOX_c,CTUh,153.48776517278827,Paper,FR
1,2026,SSP2,HTOX_c,CTUh,162.11475020106639,Paper,FR
1,2027,SSP2,HTOX_c,CTUh,158.51527338669558,Paper,FR
1,2028,SSP2,HTOX_c,CTUh,154.88211991633344,Paper,FR
1,2029,SSP2,HTOX_c,CTUh,151.230707663626,Paper,FR
1,2030,SSP2,HTOX_c,CTUh,147.5744461204819,Paper,FR
1,2019,,LU,Pt,953329116525.8379,Paper,FR
1,2020,,LU,Pt,879731615418.2672,Paper,FR
1,2021,,LU,Pt,990333930018.622,Paper,FR
1,2022,,LU,Pt,979169484209.9257,Paper,FR
1,2023,,LU,Pt,926163561304.6226,Paper,FR
1,2024,,LU,Pt,889758075087.4587,Paper,FR
1,2025,,LU,Pt,635011751962.2633,Paper,FR
1,2026,SSP2,LU,Pt,670703436382.7903,Paper,FR
1,2027,SSP2,LU,Pt,655811630019.8009,Paper,FR
1,2028,SSP2,LU,Pt,640780496119.5499,Paper,FR
1,2029,SSP2,LU,Pt,625673821726.8518,Paper,FR
1,2030,SSP2,LU,Pt,610547084781.2037,Paper,FR
1,2019,,WU,m3 water-eq,43594447037.111176,Paper,FR
1,2020,,WU,m3 water-eq,40228933167.368,Paper,FR
1,2021,,WU,m3 water-eq,45286626950.600296,Paper,FR
1,2022,,WU,m3 water-eq,44776091991.50916,Paper,FR
1,2023,,WU,m3 water-eq,42352203054.63349,Paper,FR
1,2024,,WU,m3 water-eq,40687429564.30087,Paper,FR
1,2025,,WU,m3 water-eq,29038225843.500484,Paper,FR
1,2026,SSP2,WU,m3 water-eq,30670358146.147697,Paper,FR
1,2027,SSP2,WU,m3 water-eq,29989376046.1316,Paper,FR
1,2028,SSP2,WU,m3 water-eq,29302022686.873894,Paper,FR
1,2029,SSP2,WU,m3 water-eq,28611214963.388702,Paper,FR
1,2030,SSP2,WU,m3 water-eq,27919489806.577656,Paper,FR
1,2019,,FRD,MJ,53654704045.67529,Paper,FR
1,2020,,FRD,MJ,49512533129.068306,Paper,FR
1,2021,,FRD,MJ,55737387016.12344,Paper,FR
1,2022,,FRD,MJ,55109036297.24204,Paper,FR
1,2023,,FRD,MJ,52125788374.933525,Paper,FR
1,2024,,FRD,MJ,50076836386.83185,Paper,FR
1,2025,,FRD,MJ,35739354884.30829,Paper,FR
1,2026,SSP2,FRD,MJ,37748133102.95101,Paper,FR
1,2027,SSP2,FRD,MJ,36910001287.546585,Paper,FR
1,2028,SSP2,FRD,MJ,36064027922.30633,Paper,FR
1,2029,SSP2,FRD,MJ,35213803031.86302,Paper,FR
1,2030,SSP2,FRD,MJ,34362448992.71096,Paper,FR
1,2019,,MRD,kg Sb-eq,52457.05440179862,Paper,FR
1,2020,,MRD,kg Sb-eq,48407.342657437315,Paper,FR
1,2021,,MRD,kg Sb-eq,54493.24891308497,Paper,FR
1,2022,,MRD,kg Sb-eq,53878.92387989289,Paper,FR
1,2023,,MRD,kg Sb-eq,50962.26631299305,Paper,FR
1,2024,,MRD,kg Sb-eq,48959.04986034006,Paper,FR
1,2025,,MRD,kg Sb-eq,34941.60142706926,Paper,FR
1,2026,SSP2,MRD,kg Sb-eq,36905.54084618871,Paper,FR
1,2027,SSP2,MRD,kg Sb-eq,36086.117330235276,Paper,FR
1,2028,SSP2,MRD,kg Sb-eq,35259.027299040565,Paper,FR
1,2029,SSP2,MRD,kg Sb-eq,34427.78064275893,Paper,FR
1,2030,SSP2,MRD,kg Sb-eq,33595.430041980806,Paper,FR
2,2019,,GWP_100,kg CO2-eq,1587245385.1257975,Paper,FR
2,2020,,GWP_100,kg CO2-eq,1464709220.0546072,Paper,FR
2,2021,,GWP_100,kg CO2-eq,1648856552.167364,Paper,FR
2,2022,,GWP_100,kg CO2-eq,1630268307.268353,Paper,FR
2,2023,,GWP_100,kg CO2-eq,1542016091.8924303,Paper,FR
2,2024,,GWP_100,kg CO2-eq,1481402774.8440275,Paper,FR
2,2025,,GWP_100,kg CO2-eq,1057262864.7657933,Paper,FR
2,2026,SSP2,GWP_100,kg CO2-eq,1116687737.4585516,Paper,FR
2,2027,SSP2,GWP_100,kg CO2-eq,1091893623.3209486,Paper,FR
2,2028,SSP2,GWP_100,kg CO2-eq,1066867535.7895765,Paper,FR
2,2029,SSP2,GWP_100,kg CO2-eq,1041715677.1095544,Paper,FR
2,2030,SSP2,GWP_100,kg CO2-eq,1016530415.2804711,Paper,FR
2,2019,,ODP,kg CFC-11-eq,125627.79186237957,Paper,FR
2,2020,,ODP,kg CFC-11-eq,115929.26132297111,Paper,FR
2,2021,,ODP,kg CFC-11-eq,130504.21169136699,Paper,FR
2,2022,,ODP,kg CFC-11-eq,129032.98349745113,Paper,FR
2,2023,,ODP,kg CFC-11-eq,122047.96968135388,Paper,FR
2,2024,,ODP,kg CFC-11-eq,117250.52799426299,Paper,FR
